name,category,subcategory,"Science outreach, Institution outreach or Both?",channel_name,channel_description,channel_creation,channel_subscribers,channel_views,channel_videos,channel_id,channel_url
"1 jour, 1 question",Non-institution,,,"1 jour, 1 question","Découvre la chaîne officielle 1 jour, 1 question. 1 jour, 1 question propose de répondre chaque jour à une question d'enfant, en une minute et trente secondes. Le commentaire explicatif est toujours drôle, le dessin est léger et espiègle. L'intention est d'aider l'enfant à construire son propre raisonnement et à obtenir les clés qui lui permettront de se forger sa propre opinion.. Découvre l'actu à hauteur d'enfants sur http://1jour1actu.com/",2015-04-27T14:33:43Z,264000,50384710,735,UCLmlUMA_bGiMWWgfDwfNDgw,https://www.youtube.com/channel/UCLmlUMA_bGiMWWgfDwfNDgw
12 Parsecs,Non-institution,,,12 Parsecs,"Bienvenue sur la chaine de l'à peu près.... Ici on est là pour apprendre en rigolant un bon coup, dans une ambiance chaleureuse et bon enfant, sur ce merveilleux sujet qu'est l'astronomie.. Parce que les étoiles, comme disait l'ami Jaques Chirac : ""C'est loin, mais c'est beau...""",2017-01-11T12:29:09Z,118000,7119761,54,UCkMsSGlEMPRxhqvGj6qeucQ,https://www.youtube.com/channel/UCkMsSGlEMPRxhqvGj6qeucQ
3 minutes pour comprendre,Non-institution,,,3 minutes pour comprendre,"3 minutes pour comprendre, alias 3MPC, c'est un condensé d'informations rapide et teinté d'humour, que tu peux regarder n'importe où si tu as entre 3 et 5 minutes pour toi. . . Ha, et comme pas mal de monde me demande : Je m'appelle Alban. Voilà. Paf. :). . Abonne toi pour être tenu au courant des prochains épisodes !. Facebook : http://facebook.com/3minpc. Instagram : http://instagram.com/3minpc",2017-09-29T12:33:12Z,86200,4516962,115,UCwFhfr5Ut43DiC1zcrnsxgw,https://www.youtube.com/channel/UCwFhfr5Ut43DiC1zcrnsxgw
60Secondes,Non-institution,,,60Secondes,"60 secondes !. . Prêts , Partez !. . Apprenez en vitesse sur toute les choses qui nous entours . . Sur la vie ,  le corps humain , les animaux ,Internet , les jeux et j'en passe, le sujet c'est vous qui le choisissez ! . . Vous abonnez ne prend qu'une seul secondes alors rejoignez moi .",2015-09-13T12:07:59Z,210,11761,21,UCbGh4P65TodSjJJiWOcRdeA,https://www.youtube.com/channel/UCbGh4P65TodSjJJiWOcRdeA
911 AVOCAT,Non-institution,,,911 AVOCAT,"911 Avocat est une chaîne de vulgarisation juridique. . . Son but: expliquer de façon simple et légère le droit qui s'applique aux vidéos sur internet et + largement, à internet, à la création et à la communication !. . Les co-auteurs:. - Eloïse Wagner: avocate de jour, passionnée d'internet la nuit, il fallait bien un jour que ces deux parties d'elle se rencontrent. Elles ont fait connaissance et ont décidé de créer cette chaine Youtube. . - Reksider: compositeur de jour, comédien l'après-midi (après le goûter), monteur la nuit, 911 Avocat ne serait rien sans lui.. - Le dromadaire de Noël: ne sait pas ce qu'il fait là.. . ? Contact chaîne Youtube : . . ? Réseaux sociaux Eloïse . - Twitter: https://twitter.com/Wagner_Eloise. - Facebook: https://www.facebook.com/911Avocat/ . - Insta : https://www.instagram.com/eloise.wagner/ . . ? Réseaux sociaux Reksider. - Youtube : https://www.youtube.com/reksider . - Twitter: https://twitter.com/Reksider . - http://www.reksider.com",2016-05-22T19:59:06Z,56800,1058613,22,UC1g4lZctFqTpZDrJEiw9Qug,https://www.youtube.com/channel/UC1g4lZctFqTpZDrJEiw9Qug
A Ciel Ouvert,Non-institution,,,A Ciel Ouvert,"L'astronomie c'est une passion, un saut dans le vide interstellaire pour noyer ses yeux dans la chaleur des étoiles, la dentelle des nébuleuses, la douceur des galaxies, le matérialisme des planètes.... . Mais l'astronomie c'est aussi une science qui ne se contente pas de s'extasier mais tente de comprendre l'univers et questionne notre place en son sein. Nous sommes tous deux médiateurs scientifiques et nous partageons le même enthousiasme à contempler le ciel les soirs où les nuages nous fichent la paix (!). Vous trouverez dans cette chaîne de quoi vous lancer vous-même dans votre exploration personnelle du ciel. Des explications sur la mécanique céleste, des conseils pour observer les astres que vous voulez, des vidéos spéciales consacrées aux événements astronomiques actuels...etc.. . Que vous soyez néophyte ou grand spécialiste, nous faisons de notre mieux pour être accessible à tout le monde. Nous espérons que vous prendrez autant de plaisir que nous en regardant nos vidéos :)",2018-02-06T14:13:39Z,857,26561,4,UC33ri1GxBcQEHxIqKSj-iTw,https://www.youtube.com/channel/UC33ri1GxBcQEHxIqKSj-iTw
Above Earth,Non-institution,,,Above Earth,"Salut à tous et bienvenu sur Above Earth ! Cette chaîne a pour but de vous faire découvrir l'espace à travers L'Univers Express, une série tout en animation où dans chaque épisode vous pourrez découvrir un nouveau sujet ! . .  www.twitter.com/aboveearthfr. www.facebook.com/aboveearthfr. www.above-earth.fr",2016-11-18T09:45:14Z,24300,642285,63,UCX6NvxZjKlTduC2d_lrxxzw,https://www.youtube.com/channel/UCX6NvxZjKlTduC2d_lrxxzw
ADEME Agence de l'environnement et de la maîtrise de l'énergie,Institution,Research institute,Both,ademe,"L'ADEME, l'Agence de la Transition Écologique est un établissement public à caractère industriel et commercial (EPIC) placé sous tutelle conjointe du ministère de l’Environnement, de l’Énergie et de la Mer  et du ministère de l’Éducation nationale, de l’Enseignement supérieur et de la Recherche. . . La mission de l'ADEME est de susciter, animer, coordonner, faciliter ou réaliser des opérations ayant pour objet la protection de l'environnement et la maîtrise de l'énergie.. . Les vidéos que l'ADEME vous propose ici sont issues de sa communication auprès du grand public, des professionnels et des médias. Ces images, si elles ne reflètent pas toujours le strict point de vue de l'Agence, ont toutes un point commun : la sensibilisation aux enjeux du développement durable.",2006-08-07T21:54:20Z,18500,30413019,1152,UCBYoReK1vXF7WMbgT4KVgmQ,https://www.youtube.com/channel/UCBYoReK1vXF7WMbgT4KVgmQ
Aéro Seven,Non-institution,,,Aéro Seven,"Bonjour, bonsoir à tous passionnés du ciel ou simple curieux et bienvenue sur ma chaîne !. . Ici vous trouverez des vidéos autour de l'univers de l'aéronautique : de l'histoire des appareils aux principes physiques qui les animes en passant par des faits étonnants et autres joyeusetés.",2015-04-08T11:52:32Z,288,4198,10,UCVDnIeXlBYcy_WptlWEphFg,https://www.youtube.com/channel/UCVDnIeXlBYcy_WptlWEphFg
Aéroscopia – Manascopia – Groupe Manatour,Institution,CCSTI,Institution outreach,Groupe Manatour,,2015-11-12T15:50:41Z,5,13422,3,UCxmvJRBEsEs93srG-ktL9wQ,https://www.youtube.com/channel/UCxmvJRBEsEs93srG-ktL9wQ
